"Source","Target","Sig_correlations"
"Artery - Coronary","Brain - Nucleus accumbens (basal ganglia)_secretomics",2
"Artery - Coronary","Brain - Putamen (basal ganglia)_secretomics",3
"Artery - Coronary","Brain - Spinal cord (cervical c-1)_secretomics",3
"Artery - Coronary","Brain - Substantia nigra_secretomics",3
"Artery - Coronary","Breast - Mammary Tissue_secretomics",385
"Artery - Coronary","Cells - Cultured fibroblasts_secretomics",409
"Artery - Coronary","Cells - EBV-transformed lymphocytes_secretomics",2
"Artery - Coronary","Cervix - Ectocervix_secretomics",0
"Artery - Coronary","Cervix - Endocervix_secretomics",0
"Artery - Coronary","Colon - Sigmoid_secretomics",204
"Artery - Coronary","Colon - Transverse_secretomics",124
"Artery - Coronary","Esophagus - Gastroesophageal Junction_secretomics",599
"Artery - Coronary","Esophagus - Mucosa_secretomics",1508
"Artery - Coronary","Esophagus - Muscularis_secretomics",1537
"Artery - Coronary","Fallopian Tube_secretomics",0
"Artery - Coronary","Heart - Atrial Appendage_secretomics",2501
"Artery - Coronary","Heart - Left Ventricle_secretomics",4009
"Artery - Coronary","Kidney - Cortex_secretomics",6
"Artery - Coronary","Kidney - Medulla_secretomics",0
"Artery - Coronary","Liver_secretomics",227
"Artery - Coronary","Lung_secretomics",1792
"Artery - Coronary","Minor Salivary Gland_secretomics",8
"Artery - Coronary","Muscle - Skeletal_secretomics",2970
"Artery - Coronary","Nerve - Tibial_secretomics",1832
"Artery - Coronary","Ovary_secretomics",86
"Artery - Coronary","Pancreas_secretomics",129
"Artery - Coronary","Pituitary_secretomics",2
"Artery - Coronary","Prostate_secretomics",44
"Artery - Coronary","Skin - Not Sun Exposed (Suprapubic)_secretomics",1643
"Artery - Coronary","Skin - Sun Exposed (Lower leg)_secretomics",1805
"Artery - Coronary","Small Intestine - Terminal Ileum_secretomics",42
"Artery - Coronary","Spleen_secretomics",33
"Artery - Coronary","Stomach_secretomics",42
"Artery - Coronary","Testis_secretomics",581
"Artery - Coronary","Thyroid_secretomics",2286
"Artery - Coronary","Uterus_secretomics",62
"Artery - Coronary","Vagina_secretomics",44
"Artery - Coronary","Whole Blood_secretomics",2960
"Artery - Tibial","Adipose - Subcutaneous_secretomics",29726
"Artery - Tibial","Adipose - Visceral (Omentum)_secretomics",18318
"Artery - Tibial","Adrenal Gland_secretomics",2782
"Artery - Tibial","Artery - Aorta_secretomics",11302
"Artery - Tibial","Artery - Coronary_secretomics",1420
"Artery - Tibial","Bladder_secretomics",2
"Artery - Tibial","Brain - Amygdala_secretomics",7
"Artery - Tibial","Brain - Anterior cingulate cortex (BA24)_secretomics",16
"Artery - Tibial","Brain - Caudate (basal ganglia)_secretomics",37
"Artery - Tibial","Brain - Cerebellar Hemisphere_secretomics",110
"Artery - Tibial","Brain - Cerebellum_secretomics",347
"Artery - Tibial","Brain - Cortex_secretomics",306
"Artery - Tibial","Brain - Frontal Cortex (BA9)_secretomics",47
"Artery - Tibial","Brain - Hippocampus_secretomics",8
"Artery - Tibial","Brain - Hypothalamus_secretomics",4
"Artery - Tibial","Brain - Nucleus accumbens (basal ganglia)_secretomics",15
"Artery - Tibial","Brain - Putamen (basal ganglia)_secretomics",10
"Artery - Tibial","Brain - Spinal cord (cervical c-1)_secretomics",20
"Artery - Tibial","Brain - Substantia nigra_secretomics",4
"Artery - Tibial","Breast - Mammary Tissue_secretomics",7312
"Artery - Tibial","Cells - Cultured fibroblasts_secretomics",7213
"Artery - Tibial","Cells - EBV-transformed lymphocytes_secretomics",266
"Artery - Tibial","Cervix - Ectocervix_secretomics",0
"Artery - Tibial","Cervix - Endocervix_secretomics",0
"Artery - Tibial","Colon - Sigmoid_secretomics",4378
"Artery - Tibial","Colon - Transverse_secretomics",3180
"Artery - Tibial","Esophagus - Gastroesophageal Junction_secretomics",8359
"Artery - Tibial","Esophagus - Mucosa_secretomics",13444
"Artery - Tibial","Esophagus - Muscularis_secretomics",14457
"Artery - Tibial","Fallopian Tube_secretomics",0
"Artery - Tibial","Heart - Atrial Appendage_secretomics",11114
"Artery - Tibial","Heart - Left Ventricle_secretomics",17281
"Artery - Tibial","Kidney - Cortex_secretomics",109
"Artery - Tibial","Kidney - Medulla_secretomics",0
"Artery - Tibial","Liver_secretomics",4343
"Artery - Tibial","Lung_secretomics",19624
"Artery - Tibial","Minor Salivary Gland_secretomics",452
"Artery - Tibial","Muscle - Skeletal_secretomics",44417
"Artery - Tibial","Nerve - Tibial_secretomics",43287
"Artery - Tibial","Ovary_secretomics",583
"Artery - Tibial","Pancreas_secretomics",2860
"Artery - Tibial","Pituitary_secretomics",698
"Artery - Tibial","Prostate_secretomics",1326
"Artery - Tibial","Skin - Not Sun Exposed (Suprapubic)_secretomics",22518
"Artery - Tibial","Skin - Sun Exposed (Lower leg)_secretomics",27742
"Artery - Tibial","Small Intestine - Terminal Ileum_secretomics",131
"Artery - Tibial","Spleen_secretomics",515
"Artery - Tibial","Stomach_secretomics",1017
"Artery - Tibial","Testis_secretomics",15369
"Artery - Tibial","Thyroid_secretomics",21701
"Artery - Tibial","Uterus_secretomics",268
"Artery - Tibial","Vagina_secretomics",243
"Artery - Tibial","Whole Blood_secretomics",32213
"Bladder","Adipose - Subcutaneous_secretomics",7
"Bladder","Adipose - Visceral (Omentum)_secretomics",0
"Bladder","Adrenal Gland_secretomics",1
"Bladder","Artery - Aorta_secretomics",6
"Bladder","Artery - Coronary_secretomics",2
"Bladder","Artery - Tibial_secretomics",7
"Bladder","Brain - Amygdala_secretomics",0
"Bladder","Brain - Anterior cingulate cortex (BA24)_secretomics",0
"Bladder","Brain - Caudate (basal ganglia)_secretomics",0
"Bladder","Brain - Cerebellar Hemisphere_secretomics",0
"Bladder","Brain - Cerebellum_secretomics",0
"Bladder","Brain - Cortex_secretomics",0
"Bladder","Brain - Frontal Cortex (BA9)_secretomics",0
"Bladder","Brain - Hippocampus_secretomics",0
"Bladder","Brain - Hypothalamus_secretomics",0
"Bladder","Brain - Nucleus accumbens (basal ganglia)_secretomics",0
"Bladder","Brain - Putamen (basal ganglia)_secretomics",0
"Bladder","Brain - Spinal cord (cervical c-1)_secretomics",0
"Bladder","Brain - Substantia nigra_secretomics",0
"Bladder","Breast - Mammary Tissue_secretomics",3
"Bladder","Cells - Cultured fibroblasts_secretomics",6
"Bladder","Cells - EBV-transformed lymphocytes_secretomics",0
"Bladder","Cervix - Ectocervix_secretomics",0
"Bladder","Cervix - Endocervix_secretomics",0
"Bladder","Colon - Sigmoid_secretomics",0
"Bladder","Colon - Transverse_secretomics",6
"Bladder","Esophagus - Gastroesophageal Junction_secretomics",0
"Bladder","Esophagus - Mucosa_secretomics",5
"Bladder","Esophagus - Muscularis_secretomics",6
"Bladder","Fallopian Tube_secretomics",0
"Bladder","Heart - Atrial Appendage_secretomics",0
"Bladder","Heart - Left Ventricle_secretomics",0
"Bladder","Kidney - Cortex_secretomics",0
"Bladder","Kidney - Medulla_secretomics",0
"Bladder","Liver_secretomics",0
"Bladder","Lung_secretomics",0
"Bladder","Minor Salivary Gland_secretomics",0
"Bladder","Muscle - Skeletal_secretomics",2
"Bladder","Nerve - Tibial_secretomics",0
"Bladder","Ovary_secretomics",0
"Bladder","Pancreas_secretomics",1
"Bladder","Pituitary_secretomics",0
"Bladder","Prostate_secretomics",5
"Bladder","Skin - Not Sun Exposed (Suprapubic)_secretomics",0
"Bladder","Skin - Sun Exposed (Lower leg)_secretomics",7
"Bladder","Small Intestine - Terminal Ileum_secretomics",0
"Bladder","Spleen_secretomics",0
